시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,괴리_%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,근거,RS_slope20,RS_high50,VCP_ok,Pivot_near,Vol_breakout,UDVR_50,UDVR_ok,OBV_high,Weekly_pos,Regime_good,EBS_PLUS,HitProb_%(heuristic),추천매수가,추천매도가1,추천매도가2,손절가
KOSDAQ,파두,440110,24550,183.78,12140.4,61.5,8.39,-60.2953,54.66028,-0.25,14.19,6.97,3,"RSI 45~65, MACD↑, 상승구조",-0.0565,False,False,True,False,2.1,True,True,True,True,45.1,30.6,23590,25480,26990,21970
KOSPI,삼성에스디에스,018260,168400,700.32,130304.2,49.0,0.52,280.6125,-391.21294,1.28,2.87,0.48,6,"RSI 45~65, MA20근접, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.1353,False,False,False,True,1.45,True,False,True,True,44.0,29.6,168400,174740,179800,162500
KOSDAQ,비츠로테크,042370,8800,56.23,2305.6,47.3,0.46,10.2956,-21.86668,1.81,-1.68,-0.45,6,"RSI 45~65, MA20근접, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.1319,False,False,False,True,1.57,True,False,True,True,44.0,29.6,8800,9140,9420,8500
KOSPI,SK스퀘어,402340,281000,1608.49,372439.8,64.0,13.7,665.1331,-194.21104,-0.12,11.07,9.13,3,"RSI 45~65, 상승구조, MACD>0",0.1311,False,False,False,False,1.78,True,True,True,True,42.5,28.2,256180,274250,288710,239730
KOSPI,한온시스템,018880,4125,362.36,27999.0,84.3,16.42,78.7112,-10.71615,2.4,6.87,20.97,4,"거래량↑, 상승구조, MACD>0, 5d<10%",0.1229,False,False,False,True,1.22,False,False,True,True,42.1,27.9,3670,3910,4110,3440
KOSPI,HD현대건설기계,267270,103300,461.9,17930.4,56.5,3.86,952.6115,-660.14518,0.96,-10.1,9.66,5,"RSI 45~65, MA20근접, 상승구조, MACD>0, 5d<10%",-0.0946,False,False,False,True,1.7,True,False,True,True,41.8,27.6,102830,109560,114950,96480
KOSDAQ,에이비엘바이오,298380,93000,449.47,51266.4,48.3,2.6,554.9609,119.48021,-0.3,9.41,7.76,5,"RSI 45~65, MACD↑, MA20근접, MACD>0, 5d<10%",-0.1534,False,True,True,False,1.18,False,False,False,True,41.8,27.6,92810,97140,100600,87930
KOSDAQ,와이씨,232140,14400,290.05,11814.5,40.0,0.33,-175.2334,40.76561,1.78,3.6,-5.88,5,"MACD↑, MA20근접, 거래량↑, 상승구조, 5d<10%",-0.1163,False,False,False,True,2.24,True,False,True,True,41.8,27.6,14400,15170,15790,13920
KOSPI,HL만도,204320,36450,196.41,17115.9,70.0,3.96,230.9478,-78.35242,1.77,0.83,6.73,5,"MA20근접, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.1091,False,False,False,True,1.39,True,False,True,True,41.8,27.6,35720,37040,38100,34010
KOSDAQ,필옵틱스,161580,40100,160.35,9384.5,50.7,3.83,41.719,-24.33225,-0.21,7.8,2.43,5,"RSI 45~65, MA20근접, 상승구조, MACD>0, 5d<10%",-0.072,False,False,True,False,1.98,True,False,True,True,41.8,27.6,39670,41760,43440,37460
KOSDAQ,루미르,474170,9030,100.27,1600.8,46.6,-0.19,-48.4066,-6.62008,3.06,-2.27,1.57,5,"RSI 45~65, MA20근접, 거래량↑, 상승구조, 5d<10%",-0.1324,False,False,False,True,1.79,True,False,True,True,41.8,27.6,9030,9410,9720,8780
KOSPI,삼성화재우,000815,338500,56.32,10491.8,46.8,-0.58,-385.5449,-13.94185,1.75,-1.17,-0.29,5,"RSI 45~65, MA20근접, 거래량↑, 상승구조, 5d<10%",-0.1519,False,False,True,True,0.69,False,False,False,True,41.8,27.6,338500,345250,350650,330260
KOSDAQ,GST,083450,25600,52.43,4718.1,50.4,3.35,-93.1762,9.10709,-0.79,6.89,-2.1,5,"RSI 45~65, MACD↑, MA20근접, 상승구조, 5d<10%",-0.0443,False,False,True,False,1.66,True,False,True,True,41.8,27.6,25390,26640,27640,24030
KOSPI,한진칼,180640,114500,179.7,76442.8,84.6,13.07,2198.4217,322.62442,0.76,14.84,14.73,2,"MACD↑, MACD>0",-0.0419,False,False,True,True,0.95,False,False,True,True,40.3,26.3,103560,108150,111830,98230
KOSPI,SK,034730,247500,466.53,179444.2,68.2,9.21,2270.0103,-159.82933,-0.41,7.61,13.27,3,"상승구조, MACD>0, 5d<10%",0.0034,False,False,True,False,1.23,False,False,True,True,39.9,25.9,232270,243550,252580,219830
KOSPI,HD현대마린엔진,071970,99300,361.31,33684.0,70.8,8.94,847.2704,-146.8027,-0.09,1.74,8.29,3,"상승구조, MACD>0, 5d<10%",0.0399,False,False,True,False,0.87,False,False,True,True,39.9,25.9,93650,98630,102620,88420
KOSPI,KCC,002380,444000,101.14,39455.9,73.3,11.48,6678.0686,-331.56864,-0.62,7.38,12.83,3,"상승구조, MACD>0, 5d<10%",0.0388,False,False,True,False,1.0,False,False,True,True,39.9,25.9,405850,420990,433100,386330
KOSPI,두산밥캣,241560,63100,368.96,60485.2,67.0,7.2,527.012,-106.48361,1.73,3.61,6.59,4,"거래량↑, 상승구조, MACD>0, 5d<10%",-0.0238,False,False,False,True,1.54,True,False,True,True,39.6,25.6,59980,62240,64040,57090
KOSDAQ,인벤티지랩,389470,47950,176.61,5931.0,62.6,11.9,780.2909,138.21663,-0.09,15.54,27.53,4,"RSI 45~65, MACD↑, 상승구조, MACD>0",-0.1156,False,False,True,False,1.61,True,False,True,True,39.6,25.6,44550,47950,50670,41560
KOSPI,화신,010690,8640,125.3,3017.1,72.8,3.68,61.2477,-25.81292,2.24,-0.58,2.61,4,"MA20근접, 거래량↑, MACD>0, 5d<10%",-0.0758,False,False,False,True,1.49,True,False,True,True,39.6,25.6,8520,8880,9180,8080
KOSDAQ,엘티씨,170920,21700,66.54,2215.6,60.6,14.76,250.8705,65.94207,-0.36,15.36,30.33,4,"RSI 45~65, MACD↑, 상승구조, MACD>0",-0.0876,False,False,True,False,1.89,True,False,True,True,39.6,25.6,19700,21270,22530,18340
KOSDAQ,쓰리빌리언,394800,8800,60.46,2791.5,64.9,7.16,6.5995,-9.81921,-0.46,6.54,1.38,4,"RSI 45~65, 상승구조, MACD>0, 5d<10%",-0.0634,False,False,True,False,2.4,True,False,True,True,39.6,25.6,8540,9190,9710,7970
KOSPI,서연이화,200880,12800,59.32,3459.6,77.3,7.7,116.8659,-30.07157,1.34,-1.08,7.11,4,"거래량↑, 상승구조, MACD>0, 5d<10%",-0.0241,False,False,False,True,1.35,True,False,True,True,39.6,25.6,12170,12740,13200,11530
KOSPI,OCI홀딩스,010060,117100,180.81,22032.3,85.6,18.47,2605.4339,-197.66381,-0.15,15.14,16.4,2,"상승구조, MACD>0",0.0491,False,False,True,False,1.24,False,False,True,True,37.7,23.9,101440,106630,110790,95880
KOSPI,HD한국조선해양,009540,461500,1395.63,326617.9,66.2,7.05,3039.6089,-573.45275,0.67,3.48,9.23,3,"상승구조, MACD>0, 5d<10%",-0.0274,False,False,True,False,1.32,True,False,True,True,37.4,23.7,440840,460270,475810,418190
KOSPI,포스코인터내셔널,047050,56100,895.64,98692.7,70.4,6.77,560.3483,-242.4784,0.88,-6.19,8.51,3,"상승구조, MACD>0, 5d<10%",-0.0584,False,False,False,True,1.44,True,False,True,True,37.4,23.7,54000,56910,59250,50970
KOSPI,SKC,011790,116100,874.71,43965.1,64.6,7.83,1323.7684,-317.70122,0.76,10.36,7.4,3,"RSI 45~65, 상승구조, MACD>0",-0.0256,False,False,False,True,1.38,True,False,True,True,37.4,23.7,110650,116630,121420,104440
KOSPI,한화,000880,98200,584.6,73609.5,65.5,10.01,1423.477,-249.00143,0.87,3.48,17.75,3,"상승구조, MACD>0, 5d<10%",-0.0279,False,False,False,True,1.32,True,False,True,True,37.4,23.7,92250,98230,103020,86590
KOSPI,LG이노텍,011070,228500,423.03,54079.3,75.8,11.33,1696.1444,-223.57352,0.04,5.79,15.4,3,"상승구조, MACD>0, 5d<10%",-0.0174,False,False,True,False,2.3,True,False,True,True,37.4,23.7,209820,218960,226280,199090
KOSDAQ,테크윙,089030,65700,293.33,24541.3,57.8,4.95,-478.2781,-100.43627,-1.31,6.48,6.48,3,"RSI 45~65, 상승구조, 5d<10%",-0.0542,False,False,True,False,2.23,True,False,True,True,37.4,23.7,64740,69030,72470,60720
KOSDAQ,리노공업,058470,58200,289.29,44355.3,72.3,3.99,-102.0419,-23.95616,-0.33,1.22,0.87,3,"MA20근접, 상승구조, 5d<10%",-0.0402,False,False,True,False,1.91,True,False,True,True,37.4,23.7,57110,59390,61220,54290
KOSPI,SK바이오팜,326030,113400,242.86,88807.2,67.8,7.28,1243.907,-112.97881,0.39,6.68,10.31,3,"상승구조, MACD>0, 5d<10%",-0.0845,False,False,True,False,1.59,True,False,True,True,37.4,23.7,107520,111160,114070,102530
KOSPI,코리아써키트,007810,19960,124.84,4714.7,51.5,6.08,-18.7382,-28.96714,-0.85,1.11,7.54,3,"RSI 45~65, 상승구조, 5d<10%",-0.0503,False,False,True,False,2.69,True,False,True,True,37.4,23.7,19540,20980,22140,18250
KOSDAQ,모티브링크,463480,10300,92.1,1276.2,68.9,6.16,28.5898,-33.20791,0.45,-4.63,-4.19,3,"상승구조, MACD>0, 5d<10%",-0.0291,False,False,False,True,3.64,True,False,True,True,37.4,23.7,10080,10850,11450,9410
KOSPI,HD현대에너지솔루션,322000,58000,62.54,6496.0,72.2,15.77,1168.1029,-88.3054,-0.26,8.41,17.05,3,"상승구조, MACD>0, 5d<10%",-0.036,False,False,True,False,1.41,True,False,True,True,37.4,23.7,51670,54810,57320,48590
KOSDAQ,클로봇,466100,40950,1438.68,10234.3,61.5,9.59,-511.1493,65.50949,-0.29,5.54,-4.1,4,"RSI 45~65, MACD↑, 상승구조, 5d<10%",0.0886,False,False,False,False,4.12,True,False,True,True,37.0,23.3,39010,42310,44950,36240
KOSDAQ,지엔씨에너지,119850,39300,561.95,6464.4,59.8,10.39,478.7677,-93.49586,0.37,3.97,-0.25,4,"RSI 45~65, 상승구조, MACD>0, 5d<10%",0.0837,False,False,False,False,1.42,True,False,True,True,37.0,23.3,37390,40960,43820,34530
KOSDAQ,심텍,222800,61600,400.38,21400.6,64.2,18.68,509.902,-74.2832,-0.95,4.94,21.5,4,"RSI 45~65, 상승구조, MACD>0, 5d<10%",0.2592,False,False,False,False,2.6,True,False,True,True,37.0,23.3,54250,58940,62700,50350
KOSDAQ,두산테스나,131970,51700,270.93,9992.2,60.3,8.95,-115.3964,74.40903,0.17,7.82,-2.64,4,"RSI 45~65, MACD↑, 상승구조, 5d<10%",0.0736,False,False,False,False,1.57,True,False,True,True,37.0,23.3,49170,52590,55320,46030
KOSDAQ,한스바이오메드,042520,27250,223.12,3685.9,61.5,13.24,75.8608,-401.69971,-0.6,-19.38,7.71,4,"RSI 45~65, 상승구조, MACD>0, 5d<10%",0.2794,False,False,False,False,1.7,True,False,True,True,37.0,23.3,26210,30500,33930,23340
KOSDAQ,한국피아이엠,448900,26700,122.6,1603.2,47.7,8.59,74.6379,-186.59969,-0.54,2.89,12.66,4,"RSI 45~65, 상승구조, MACD>0, 5d<10%",0.3785,False,False,False,False,7.86,True,False,True,True,37.0,23.3,25880,28450,30510,23850
KOSDAQ,코미코,183300,113300,99.84,11852.0,53.2,1.61,-1106.1486,-254.8822,-0.51,-2.5,-3.16,4,"RSI 45~65, MA20근접, 상승구조, 5d<10%",0.0237,False,False,False,False,1.54,True,False,True,True,37.0,23.3,113300,120240,125780,108160
KOSDAQ,재영솔루텍,049630,1021,80.36,1039.3,56.8,6.9,21.1931,-15.36527,-0.28,-9.81,16.55,4,"RSI 45~65, 상승구조, MACD>0, 5d<10%",0.0202,False,False,False,False,4.73,True,False,True,True,37.0,23.3,1000,1100,1180,930
KOSDAQ,엔젤로보틱스,455900,29400,65.99,4463.8,60.6,3.67,-172.6109,-89.46547,-0.41,-1.84,-8.41,4,"RSI 45~65, MA20근접, 상승구조, 5d<10%",0.0361,False,False,False,False,2.17,True,False,True,True,37.0,23.3,29400,31600,33370,27510
KOSPI,엔씨소프트,036570,221500,240.08,47720.0,54.6,4.58,1218.6036,498.38069,0.25,8.85,5.23,5,"RSI 45~65, MACD↑, 상승구조, MACD>0, 5d<10%",-0.1583,False,False,True,False,1.35,True,False,False,True,36.6,22.9,215710,223520,229770,205450
KOSDAQ,솔브레인,357780,285000,153.3,22168.9,47.2,0.39,-1838.1688,375.68039,0.63,4.2,-1.04,5,"RSI 45~65, MACD↑, MA20근접, 상승구조, 5d<10%",-0.1739,False,False,True,False,1.42,True,False,False,True,36.6,22.9,285000,298210,308790,275380
KOSDAQ,코리아에프티,123410,6040,114.43,1681.6,50.0,-1.19,1.7852,-12.48108,3.2,-0.17,-3.97,5,"RSI 45~65, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.1766,False,False,False,True,1.92,True,False,False,True,36.6,22.9,6040,6350,6600,5930
KOSDAQ,알테오젠,196170,472000,1618.34,252547.3,54.5,3.79,3138.6132,188.5753,0.12,4.19,9.26,6,"RSI 45~65, MACD↑, MA20근접, 상승구조, MACD>0, 5d<10%",-0.1189,False,False,True,False,1.18,False,False,True,True,36.3,22.7,463360,480540,494290,441130
KOSPI,HD현대인프라코어,042670,15750,838.09,29744.1,53.0,0.89,127.801,-109.07729,2.12,-7.3,5.49,6,"RSI 45~65, MA20근접, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.1436,False,False,False,True,1.12,False,False,True,True,36.3,22.7,15750,16740,17530,15140
KOSDAQ,실리콘투,257720,45650,620.32,27925.0,48.1,2.07,134.819,91.37992,1.71,0.0,6.04,6,"RSI 45~65, MACD↑, MA20근접, 거래량↑, MACD>0, 5d<10%",-0.1336,False,False,False,True,0.99,False,False,True,True,36.3,22.7,45650,47590,49150,43380
KOSPI,세방전지,004490,65100,57.57,9114.0,56.3,0.66,43.4735,-48.25351,1.24,0.46,0.62,6,"RSI 45~65, MA20근접, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.1306,False,False,True,False,0.99,False,False,True,True,36.3,22.7,65100,67010,68530,62730
KOSDAQ,셀트리온제약,068760,63000,241.15,27517.9,74.0,10.83,890.3108,-70.19676,1.01,11.31,12.9,2,"상승구조, MACD>0",-0.0428,False,False,False,True,1.6,True,False,True,True,35.2,21.7,58140,60730,62810,55140
KOSPI,LG에너지솔루션,373220,486500,3613.63,1138410.0,81.9,15.71,9322.8343,-2779.32568,0.8,8.72,15.7,3,"상승구조, MACD>0, 5d<10%",0.143,False,False,False,False,2.15,True,False,True,True,34.8,21.3,432750,457360,477050,407840
KOSDAQ,에코프로,086520,89200,2628.81,121112.3,78.8,32.17,2932.0405,-847.19423,0.05,9.45,54.59,3,"상승구조, MACD>0, 5d<10%",0.5122,False,False,False,False,2.12,True,False,True,True,34.8,21.3,71180,78570,84480,65460
KOSPI,포스코퓨처엠,003670,220000,2146.0,195681.7,79.3,17.62,4436.698,-2172.30123,0.19,8.11,14.88,3,"상승구조, MACD>0, 5d<10%",0.2807,False,False,False,False,1.98,True,False,True,True,34.8,21.3,195580,212670,226350,181430
KOSDAQ,에코프로비엠,247540,162600,1490.6,159025.0,78.8,13.95,2524.8245,-1332.09476,-0.25,2.01,13.71,3,"상승구조, MACD>0, 5d<10%",0.147,False,False,False,False,1.92,True,False,True,True,34.8,21.3,148360,159670,168720,138420
KOSPI,한국전력,015760,42950,1327.4,275723.6,70.6,7.05,390.219,-187.87275,-0.18,1.9,6.84,3,"상승구조, MACD>0, 5d<10%",0.0133,False,False,False,False,1.51,True,False,True,True,34.8,21.3,41240,43460,45240,38920
KOSDAQ,삼영엠텍,054540,18400,673.63,2392.0,75.3,20.61,267.2966,-161.96494,-0.33,-8.91,25.43,3,"상승구조, MACD>0, 5d<10%",0.3034,False,False,False,False,4.68,True,False,True,True,34.8,21.3,16490,18960,20930,14800
KOSPI,에코프로머티,450080,64300,618.69,44966.5,73.6,10.78,630.8497,-417.1529,-0.07,-1.68,1.42,3,"상승구조, MACD>0, 5d<10%",0.075,False,False,False,False,1.93,True,False,True,True,34.8,21.3,60510,65440,69390,56300
KOSPI,코스모신소재,005070,56500,611.56,18368.6,75.0,13.69,948.234,-484.02288,-0.35,0.71,16.02,3,"상승구조, MACD>0, 5d<10%",0.1044,False,False,False,False,2.19,True,False,True,True,34.8,21.3,52160,57080,61020,48200
KOSDAQ,휴림로봇,090710,6040,453.98,7215.2,83.2,28.17,102.759,-40.04411,-0.75,0.67,44.67,3,"상승구조, MACD>0, 5d<10%",0.5616,False,False,False,False,3.04,True,False,True,True,34.8,21.3,5030,5660,6170,4570
KOSPI,디아이,003160,23500,440.3,6650.5,64.7,10.56,-13.6278,-81.60203,-0.4,-1.26,6.09,3,"RSI 45~65, 상승구조, 5d<10%",0.2561,False,False,False,False,3.12,True,False,True,True,34.8,21.3,22370,24600,26390,20620
KOSPI,이수화학,005950,10780,277.3,2834.5,74.2,47.19,608.4975,-133.90355,0.09,9.89,94.94,3,"상승구조, MACD>0, 5d<10%",0.6557,False,False,False,False,1.55,True,False,True,True,34.8,21.3,7890,9020,9920,7100
KOSDAQ,티엘비,356860,66800,276.12,6568.2,54.7,5.15,-656.0663,-313.47043,-0.89,-6.7,-0.74,3,"RSI 45~65, 상승구조, 5d<10%",0.1579,False,False,False,False,2.38,True,False,True,True,34.8,21.3,66480,72390,77120,61620
KOSDAQ,보로노이,310210,195300,266.34,35921.8,61.5,12.15,2636.5164,-761.61887,-0.16,14.61,22.52,3,"RSI 45~65, 상승구조, MACD>0",0.0702,False,False,False,False,1.67,True,False,True,True,34.8,21.3,181450,196080,207780,168910
KOSDAQ,로보로보,215100,9680,256.07,1969.7,81.0,19.38,140.0747,-67.08578,-0.55,1.68,36.34,3,"상승구조, MACD>0, 5d<10%",0.2253,False,False,False,False,4.57,True,False,True,True,34.8,21.3,8630,9680,10520,7870
KOSPI,포스코DX,022100,26850,253.97,40821.3,81.7,11.63,462.8166,-154.25202,-0.02,2.29,16.74,3,"상승구조, MACD>0, 5d<10%",0.0295,False,False,False,False,3.35,True,False,True,True,34.8,21.3,24800,26290,27490,23330
KOSDAQ,신성에스티,416180,44900,201.79,4058.9,65.5,8.12,458.1869,-297.5249,0.59,8.06,-6.46,3,"상승구조, MACD>0, 5d<10%",0.0818,False,False,False,False,1.52,True,False,True,True,34.8,21.3,43600,47750,51060,40280
KOSDAQ,한중엔시에스,107640,47600,177.05,4314.9,68.0,11.0,562.0009,-383.63619,0.18,4.27,0.74,3,"상승구조, MACD>0, 5d<10%",0.1502,False,False,False,False,1.53,True,False,True,True,34.8,21.3,45050,49380,52850,41600
KOSDAQ,나인테크,267320,4120,172.91,2352.7,71.1,11.34,65.2725,-30.37552,-0.01,3.39,12.11,3,"상승구조, MACD>0, 5d<10%",0.0987,False,False,False,False,2.3,True,False,True,True,34.8,21.3,3840,4130,4350,3590
KOSDAQ,하이젠알앤엠,160190,56100,162.42,17328.2,59.6,4.82,-545.6962,-126.57979,-0.54,3.12,-12.48,3,"RSI 45~65, 상승구조, 5d<10%",0.1291,False,False,False,False,2.73,True,False,True,True,34.8,21.3,56010,61000,64990,51910
KOSDAQ,피엔티,137400,44350,160.03,10530.1,76.6,10.78,687.14,-267.61131,-0.06,4.6,12.99,3,"상승구조, MACD>0, 5d<10%",0.0222,False,False,False,False,1.83,True,False,True,True,34.8,21.3,41410,44160,46370,38830
KOSDAQ,로킷헬스케어,376900,35300,154.09,5457.3,59.1,11.37,-185.1134,-165.74799,-0.94,-5.74,2.62,3,"RSI 45~65, 상승구조, 5d<10%",0.4806,False,False,False,False,5.73,True,False,True,True,34.8,21.3,33590,37390,40420,30750
KOSDAQ,제닉스로보틱스,381620,15850,147.14,2079.2,60.3,4.97,-124.1408,-120.83037,-0.7,-12.58,-0.06,3,"RSI 45~65, 상승구조, 5d<10%",0.0684,False,False,False,False,3.9,True,False,True,True,34.8,21.3,15850,17670,19130,14650
KOSDAQ,보성파워텍,006910,5380,146.25,2643.2,43.5,2.55,-31.3442,-15.13995,-0.43,-0.55,-4.61,3,"MA20근접, 상승구조, 5d<10%",0.0065,False,False,False,False,2.6,True,False,True,True,34.8,21.3,5380,5750,6040,5090
KOSDAQ,나노신소재,121600,68300,93.66,8340.2,81.8,21.48,1973.1175,-463.19129,-0.19,8.93,31.35,3,"상승구조, MACD>0, 5d<10%",0.206,False,False,False,False,1.43,True,False,True,True,34.8,21.3,58250,62290,65520,54540
KOSPI,코스모화학,005420,19700,85.9,7566.4,77.2,11.27,307.9445,-133.2723,-0.11,1.49,11.3,3,"상승구조, MACD>0, 5d<10%",0.0265,False,False,False,False,2.1,True,False,True,True,34.8,21.3,18370,19710,20780,17170
KOSDAQ,새빗켐,107600,35050,84.73,1973.3,70.3,9.37,472.1756,-419.07927,-0.66,0.14,0.72,3,"상승구조, MACD>0, 5d<10%",0.1046,False,False,False,False,2.56,True,False,True,True,34.8,21.3,34470,39330,43210,31090
KOSDAQ,덕산테코피아,317330,21250,69.14,4351.3,69.5,8.82,378.8686,-235.15448,0.15,-9.57,16.25,3,"상승구조, MACD>0, 5d<10%",0.0439,False,False,False,False,1.51,True,False,True,True,34.8,21.3,20250,21710,22870,18940
KOSDAQ,나이벡,138610,38850,67.24,4393.2,44.7,0.57,-529.9831,-117.41707,-0.89,-2.51,-15.17,3,"MA20근접, 상승구조, 5d<10%",0.2153,False,False,False,False,2.69,True,False,True,True,34.8,21.3,38850,42880,46100,37470
KOSDAQ,해성에어로보틱스,059270,9510,60.09,1061.8,57.2,4.8,-61.946,-54.60427,-0.61,-3.45,-3.26,3,"RSI 45~65, 상승구조, 5d<10%",0.2164,False,False,False,False,2.84,True,False,True,True,34.8,21.3,9510,10600,11470,8800
KOSPI,동양,001520,886,51.59,2114.7,52.4,-8.19,-20.2295,-5.58267,-0.84,-12.02,-16.42,3,"RSI 45~65, 상승구조, 5d<10%",0.1795,False,False,False,False,1.79,True,False,True,True,34.8,21.3,910,1020,1120,940
KOSDAQ,뉴로핏,380550,21700,848.79,2507.2,59.4,5.92,-232.9186,80.11201,0.18,3.58,9.49,4,"RSI 45~65, MACD↑, 상승구조, 5d<10%",-0.1182,False,False,False,False,3.61,True,True,True,True,34.4,21.0,21640,23950,25800,19870
KOSDAQ,엘앤씨바이오,290650,53500,315.26,13171.1,53.7,4.88,-104.0752,129.71324,-0.25,4.7,1.52,4,"RSI 45~65, MACD↑, 상승구조, 5d<10%",-0.2477,False,True,False,False,1.86,True,False,False,True,34.4,21.0,52800,56380,59250,49480
KOSDAQ,삼천당제약,000250,221000,285.93,51841.0,58.4,5.39,1477.9943,325.70619,-0.21,10.22,7.54,4,"RSI 45~65, MACD↑, 상승구조, MACD>0",-0.1695,False,False,True,False,1.4,True,False,False,True,34.4,21.0,215070,225830,234440,203400
KOSPI,제일기획,030000,20250,107.53,23295.8,46.5,-0.5,-15.2098,-10.59616,1.17,-0.25,-0.98,4,"RSI 45~65, MA20근접, 상승구조, 5d<10%",-0.1711,False,False,True,False,1.36,True,False,False,True,34.4,21.0,20250,20600,20890,19740
KOSPI,JB금융지주,175330,22850,95.64,43685.3,54.3,0.74,-22.0989,61.63866,0.61,2.01,-1.3,4,"RSI 45~65, MACD↑, MA20근접, 5d<10%",-0.1617,False,False,True,False,1.53,True,False,False,True,34.4,21.0,22850,23560,24140,22000
KOSPI,에이피알,278470,253500,1616.84,94886.7,47.7,3.56,-453.9347,842.6853,0.9,4.54,4.54,5,"RSI 45~65, MACD↑, MA20근접, 상승구조, 5d<10%",-0.0367,False,False,True,False,1.19,False,False,True,True,34.1,20.7,250880,263100,272870,237430
KOSPI,신한지주,055550,73300,1168.41,355867.8,54.5,1.4,3.2054,-102.64944,0.54,0.0,0.83,5,"RSI 45~65, MA20근접, 상승구조, MACD>0, 5d<10%",-0.1081,False,False,True,False,1.17,False,False,True,True,34.1,20.7,73300,75690,77610,70120
KOSPI,KB금융,105560,115800,1088.53,441733.1,56.2,0.65,25.163,-37.22048,-0.07,0.87,1.85,5,"RSI 45~65, MA20근접, 상승구조, MACD>0, 5d<10%",-0.1395,False,False,True,False,0.74,False,False,True,True,34.1,20.7,115800,119490,122450,111600
KOSPI,현대글로비스,086280,171000,382.47,128250.0,59.2,2.81,859.7078,102.19886,0.67,1.54,1.97,5,"RSI 45~65, MACD↑, MA20근접, MACD>0, 5d<10%",-0.1447,False,False,True,False,0.68,False,False,True,True,34.1,20.7,169370,175480,180370,161330
KOSPI,삼성증권,016360,77600,377.1,69296.8,61.4,3.52,181.8714,-74.5938,0.72,2.51,2.65,5,"RSI 45~65, MA20근접, 상승구조, MACD>0, 5d<10%",-0.0897,False,False,True,False,1.11,False,False,True,True,34.1,20.7,76290,78950,81070,72710
KOSPI,에스엘,005850,35450,140.78,16466.0,57.4,0.37,-42.9604,-55.13203,2.22,-1.8,-3.27,5,"RSI 45~65, MA20근접, 거래량↑, 상승구조, 5d<10%",-0.1446,False,False,False,True,1.09,False,False,True,True,34.1,20.7,35450,36860,37990,34260
KOSPI,한미반도체,042700,143500,3185.41,136773.0,70.4,10.22,-697.5309,-531.67882,-0.02,-4.01,-2.05,2,"상승구조, 5d<10%",0.2952,False,False,False,False,2.66,True,False,True,True,32.6,19.3,135210,145240,153260,126290
KOSPI,파미셀,005690,17250,774.04,10352.9,75.2,26.17,520.3351,-28.46454,-0.0,21.56,38.89,2,"상승구조, MACD>0",0.1902,False,False,False,False,2.65,True,False,True,True,32.6,19.3,14250,15400,16320,13260
KOSDAQ,온코닉테라퓨틱스,476060,17630,319.33,1959.0,32.9,-1.96,-426.3715,-117.29108,-0.22,-8.79,-2.87,2,"상승구조, 5d<10%",0.1344,False,False,False,False,5.22,True,False,True,True,32.6,19.3,17630,19740,21440,17440
KOSDAQ,천보,278280,71200,108.58,7120.0,78.5,29.41,2576.193,-672.07498,0.1,21.71,44.57,2,"상승구조, MACD>0",0.387,False,False,False,False,2.17,True,False,True,True,32.6,19.3,57830,63460,67960,53370
KOSDAQ,피앤에스로보틱스,460940,20300,108.1,1332.8,69.2,22.2,500.3573,-22.25101,-0.14,26.95,26.01,2,"상승구조, MACD>0",0.1254,False,False,False,False,4.71,True,False,True,True,32.6,19.3,17500,19270,20690,16110
